block,planet,galaxy
1,0,0
1,1,0
1,2,1
1,3,1
1,4,1
1,5,2
1,6,2
1,7,2
1,8,0
1,9,0
1,10,0
1,11,0
1,12,0
1,13,2
1,14,2
1,15,1
1,16,2
1,17,2
1,18,2
1,19,2
2,0,0
2,1,0
2,2,0
2,3,2
2,4,2
2,5,2
2,6,2
2,7,2
2,8,1
2,9,2
2,10,2
2,11,0
2,12,0
2,13,0
2,14,0
2,15,2
2,16,2
2,17,2
2,18,2
2,19,2
3,0,1
3,1,2
3,2,1
3,3,1
3,4,1
3,5,1
3,6,2
3,7,2
3,8,1
3,9,1
3,10,2
3,11,2
3,12,2
3,13,2
3,14,1
3,15,1
3,16,2
3,17,2
3,18,2
3,19,2
4,0,0
4,1,0
4,2,0
4,3,2
4,4,2
4,5,2
4,6,2
4,7,2
4,8,2
4,9,0
4,10,0
4,11,2
4,12,2
4,13,2
4,14,2
4,15,2
4,16,2
4,17,2
4,18,2
4,19,2
5,0,1
5,1,1
5,2,1
5,3,1
5,4,1
5,5,1
5,6,1
5,7,1
5,8,1
5,9,1
5,10,1
5,11,1
5,12,1
5,13,1
5,14,1
5,15,2
5,16,2
5,17,2
5,18,1
5,19,1
