diff,galaxy,opt_prt,pred_decay,prt,true_decay,true_planet,uncertainty
0,0,2,0.5116721370471075,2,0.2222222222222222,0,0.2216587705274792
1,0,2,0.5047560618204404,3,0.2625606271362533,1,0.24110667587287793
9,1,3,0.4220924798883559,12,0.5377832183820991,2,0.15169107186338734
5,1,3,0.5059405259667048,8,0.5020232849272944,3,0.02677398955043655
4,1,3,0.5140711857216526,7,0.46888938439556477,4,0.018600744055708204
3,2,8,0.4762104252204579,11,0.7908494190158355,5,0.25089103204788826
2,2,7,0.6445851305130428,9,0.7867852346134597,6,0.07971682496997944
-1,2,8,0.7032205968209508,7,0.8095804746205709,7,0.040817194221739496
3,0,2,0.42380428678248205,5,0.17476335103632396,8,0.18586321680469658
3,0,2,0.31673237170505764,5,0.20756648375723147,20,0.09650357998587276
2,0,2,0.30401164557729404,4,0.155269518426896,21,0.09809678347208516
3,0,2,0.2582666883764112,5,0.2023333216320218,22,0.05717381531674075
0,2,8,0.7266822250966856,8,0.8120287845733044,23,0.04511007548296415
0,2,8,0.7186511559458961,8,0.8283718398209218,24,0.03277010715610272
0,2,7,0.762624369369926,7,0.7936429370502535,25,0.029622140639981035
-1,2,7,0.7447228459754892,6,0.7891414975017236,26,0.020557464670606
-1,2,6,0.7432817823901212,5,0.769013641160674,27,0.02028949342068332
3,1,3,0.5029881731227509,6,0.5299486258168628,28,0.022429303201014546
0,2,8,0.7932762236196403,8,0.8438259725294598,29,0.02088947705173065
3,1,2,0.5019774576799239,5,0.4933332686998445,40,0.01851139696468998
0,2,7,0.7460050834167974,7,0.8231279866014226,41,0.01927173647633755
3,1,2,0.5266335447944486,5,0.523838079009527,42,0.013192314530922827
2,1,2,0.5160284966693234,4,0.4779464762988657,43,0.026587823672944974
2,1,3,0.5033850020355998,5,0.5014119505327317,44,0.009004383780510477
3,1,2,0.5208140694449458,5,0.4890972124152256,45,0.010463674800950324
0,2,7,0.7942223009060854,7,0.807305656146082,46,0.017196313165615727
0,2,6,0.7655402154313379,6,0.8038841750235743,47,0.01823325567435085
1,1,2,0.505374918573126,3,0.4910130718954248,48,0.01690722330493175
2,1,2,0.5007100282793657,4,0.4698104941545979,49,0.009583727802711732
0,2,6,0.781324769675194,6,0.7862391858253007,50,0.020090366364727337
2,0,2,0.2714567179301134,4,0.185838992472985,60,0.062440880050016856
3,0,2,0.27110437869169424,5,0.227514522864455,61,0.02821073652993166
2,0,2,0.26540057998880134,4,0.20613868474171948,62,0.021479266142189694
0,2,6,0.7679372106359689,6,0.7919484697835213,63,0.013927329922057833
0,2,6,0.7893478376710292,6,0.7783527568007744,64,0.01168747509537355
0,2,7,0.7760818813877153,7,0.8001031005731436,65,0.013279307033968204
0,2,7,0.7843407071744372,7,0.8263736263736262,66,0.009190834530699086
0,2,8,0.8074227896547861,8,0.8300295201511007,67,0.013693144627021871
0,2,7,0.7976718539798294,7,0.8079547415797319,68,0.011431076301342932
2,0,2,0.23049276101011693,4,0.16069156916051217,69,0.02434304536766673
2,1,2,0.495808578499523,4,0.49574261274757214,80,0.008487822853625296
2,1,2,0.48833381406982823,4,0.5150116575397085,81,0.010459503759440847
2,1,2,0.4992600988229768,4,0.4774754994132526,82,0.006310623609932598
2,1,2,0.5158594451668568,4,0.46258842973436637,83,0.007980486263527056
0,1,3,0.4919660565773774,3,0.5077380952380952,84,0.009218085223293853
2,1,2,0.5031188396043408,4,0.48634176468738927,85,0.010512091773328168
3,1,2,0.5051227393708435,5,0.46762282092278473,86,0.006211222027560216
1,1,2,0.4895785223072798,3,0.4738243123336291,87,0.006304504402702684
1,1,3,0.5004878339841708,4,0.5711856018625011,88,0.0056967829528507975
2,1,2,0.4841388227114532,4,0.4811128217215104,89,0.005305948804591101
1,1,2,0.5144421190437939,3,0.5073772083090662,90,0.016925932511427516
2,1,2,0.4940080771005582,4,0.46509880736762527,91,0.005334326302247541
0,1,3,0.5092625790969699,3,0.5192307692307692,92,0.016253878338633655
